date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:24	263/263	---M--	200	added ('OK')	text/plain	etag:%2240054-107-52a5541a99cad%22	http://www.sinuousgame.com/robots.txt		(from )
13:39:24	6664/6664	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2018:39:27%20GMT	http://www.sinuousgame.com/	D:/dodge/www.sinuousgame.com/index.html	(from )
13:39:24	325/325	---M--	200	added ('OK')	text/cache-manifest	etag:%224002c-145-5635e74e1152c%22	http://www.sinuousgame.com/cache.manifest	D:/dodge/www.sinuousgame.com/cache.manifest	(from http://www.sinuousgame.com/)
13:39:25	327/327	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Nov%202021%2018:39:28%20GMT	http://www.sinuousgame.com/mobile	D:/dodge/www.sinuousgame.com/mobile.2.delayed	(from http://www.sinuousgame.com/)
13:39:25	2407/2407	---M--	200	added ('OK')	text/html	etag:%2240041-967-52a55418bf2e9%22	http://www.sinuousgame.com/mobile/	D:/dodge/www.sinuousgame.com/mobile/index.html	(from http://www.sinuousgame.com/)
13:39:25	863/863	---M--	200	added ('OK')	text/css	etag:%224002e-35f-52a5541674444%22	http://www.sinuousgame.com/css/reset.css	D:/dodge/www.sinuousgame.com/css/reset.css	(from http://www.sinuousgame.com/)
13:39:25	9449/9449	---M--	200	added ('OK')	text/css	etag:%224002b-24e9-5635e83ebb4c9%22	http://www.sinuousgame.com/css/main.css	D:/dodge/www.sinuousgame.com/css/main.css	(from http://www.sinuousgame.com/)
13:39:26	1367/1367	---M--	200	added ('OK')	image/png	etag:%2240056-557-52a5541ae9dee%22	http://www.sinuousgame.com/assets/images/HTML5_Logo/HTML5_Logo_64_WhiteText.png	D:/dodge/www.sinuousgame.com/assets/images/HTML5_Logo/HTML5_Logo_64_WhiteText.png	(from http://www.sinuousgame.com/)
13:39:27	6059/6059	---M--	200	added ('OK')	image/png	etag:%2240046-17ab-52a554194bceb%22	http://www.sinuousgame.com/assets/images/app-store-badge-202x73.png	D:/dodge/www.sinuousgame.com/assets/images/app-store-badge-202x73.png	(from http://www.sinuousgame.com/)
13:39:27	31300/31300	---M--	200	added ('OK')	image/png	etag:%2240061-7a44-52a5541c65c11%22	http://www.sinuousgame.com/assets/images/icon_512.png	D:/dodge/www.sinuousgame.com/assets/images/icon_512.png	(from http://www.sinuousgame.com/)
13:39:29	10220/10220	---M--	200	added ('OK')	text/javascript	etag:%224004c-27ec-52a5541a074ec%22	http://www.sinuousgame.com/js/swfobject.js	D:/dodge/www.sinuousgame.com/js/swfobject.js	(from http://www.sinuousgame.com/)
13:39:30	98507/98507	---M-Z	200	added ('OK')	application/javascript	etag:%22a709ab1b2c0d5d5e7c19895f6e1dcbfd+gzip%22	http://platform.twitter.com/widgets.js	D:/dodge/platform.twitter.com/widgets.js	(from http://www.sinuousgame.com/)
13:39:31	20366/20366	---M--	200	added ('OK')	text/javascript	etag:%2240119-4f8e-5635e6e9e7ccc%22	http://www.sinuousgame.com/js/sinuous.min.js	D:/dodge/www.sinuousgame.com/js/sinuous.min.js	(from http://www.sinuousgame.com/)
13:39:33	15701/15701	---M--	200	added ('OK')	image/png	etag:%224003e-3d55-52a5541870149%22	http://www.sinuousgame.com/mobile/app-store-banner.png	D:/dodge/www.sinuousgame.com/mobile/app-store-banner.png	(from http://www.sinuousgame.com/mobile/)
13:39:34	3393/3393	---M--	200	added ('OK')	image/png	etag:%2240063-d41-52a5541cb7c92%22	http://www.sinuousgame.com/assets/images/sprites.png	D:/dodge/www.sinuousgame.com/assets/images/sprites.png	(from http://www.sinuousgame.com/css/main.css)
13:39:34	31137/31137	---M--	200	added ('OK')	image/png	etag:%2240044-79a1-52a55419103ca%22	http://www.sinuousgame.com/mobile/sinuous-icon-512.png	D:/dodge/www.sinuousgame.com/mobile/sinuous-icon-512.png	(from http://www.sinuousgame.com/mobile/)
13:39:34	22092/22092	---M--	200	added ('OK')	text/plain	etag:%2240032-564c-52a55417482e6%22	http://www.sinuousgame.com/assets/fonts/molengo-regular-webfont.ttf	D:/dodge/www.sinuousgame.com/assets/fonts/molengo-regular-webfont.ttf	(from http://www.sinuousgame.com/css/main.css)
13:39:35	85925/85925	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	D:/dodge/ajax.googleapis.com/ajax/libs/jquery/1.5.2/jquery.min.js	(from http://www.sinuousgame.com/)
